team,teamID,gameID,season,week,opponent,opponentID,completions,passingAttempts,passingYards,completionPct,yardsPerPassAttempt,yardsPerCompletion,passingTouchdowns,interceptions,sacks,rushingYards,rushingAttempts,yardsPerRushAttempt,rushingTouchdowns,receivingTouchdowns,fumbles,fumblesRecovered,fieldGoalsMade1_19,fieldGoalsMade20_29,fieldGoalsMade30_39,fieldGoalsMade40_49,fieldGoalsMade50,extraPointsMade,totalKickingPoints
DET,4,401326414,2021,6,DET,8,19,29,271,65.5,9.3,14.26,3,1,2,142.0,36,3.94,0,4,1,0,0,0,1,1,0,4,10,34
DET,7,401326532,2021,14,DET,8,18,25,179,72.0,7.2,9.94,2,0,1,184.0,39,4.72,3,1,0,0,0,0,0,0,1,5,8,32
DET,16,401326400,2021,5,DET,8,25,34,275,73.5,8.1,11.0,1,1,2,117.0,26,4.5,0,1,1,1,0,0,2,0,2,1,13,19
DET,16,401326513,2021,13,DET,8,30,40,340,75.0,8.5,11.33,2,0,3,100.0,27,3.7,1,2,0,0,0,0,2,1,0,0,9,27
DET,3,401326494,2021,12,DET,8,24,39,317,61.5,8.1,13.21,1,1,1,59.0,24,2.46,0,1,0,0,0,2,0,1,0,1,10,16
DET,3,401326382,2021,4,DET,8,11,17,209,64.7,12.3,19.0,0,1,1,126.0,28,4.5,2,0,0,0,0,0,1,0,0,3,6,18
DET,25,401326317,2021,1,DET,8,1,1,5,100.0,5.0,5.0,1,0,0,128.0,27,4.74,1,1,1,1,0,0,0,1,1,5,11,23
DET,21,401326441,2021,8,DET,8,9,14,103,64.3,7.4,11.44,0,0,0,176.0,34,5.18,2,0,0,0,0,1,0,2,0,5,14,26
DET,33,401326366,2021,3,DET,8,16,31,287,51.6,9.3,17.94,1,1,4,116.0,22,5.27,0,0,0,0,0,0,2,0,2,1,13,13
DET,9,401326589,2021,18,DET,8,14,18,138,77.8,7.7,9.86,2,0,3,69.0,16,4.31,0,3,0,0,0,0,1,0,0,1,4,22
DET,9,401326362,2021,2,DET,8,22,27,255,81.5,9.4,11.59,4,0,3,88.0,29,3.03,1,4,0,0,0,0,0,0,0,5,5,35
DET,5,401326483,2021,11,DET,8,15,29,176,51.7,6.1,11.73,1,2,1,182.0,33,5.52,1,1,0,0,0,0,0,0,0,1,1,13
DET,22,401326544,2021,15,DET,8,23,41,257,56.1,6.3,11.17,1,1,2,102.0,20,5.1,0,1,0,0,0,2,0,0,0,0,6,12
DET,23,401326470,2021,10,DET,8,30,50,242,60.0,4.8,8.07,1,1,0,141.0,30,4.7,0,1,2,2,0,2,0,0,1,1,10,16
DET,1,401326556,2021,16,DET,8,18,24,215,75.0,9.0,11.94,1,0,3,47.0,18,2.61,1,1,1,1,0,0,0,1,1,2,8,20
DET,14,401326430,2021,7,DET,8,28,41,334,68.3,8.1,11.93,3,0,1,47.0,19,2.47,0,3,0,0,0,0,1,1,0,2,8,26
DET,26,401326582,2021,17,DET,8,20,29,236,69.0,8.1,11.8,4,0,1,207.0,33,6.27,2,4,0,0,0,0,0,0,0,0,0,36
DET,2,401437857,2022,12,DET,8,24,42,253,57.1,6.0,10.54,2,1,3,164.0,29,5.66,1,2,0,0,0,0,0,2,0,2,8,26
DET,30,401437877,2022,13,DET,8,17,31,179,54.8,5.8,10.53,1,0,2,95.0,19,5.0,0,1,1,1,0,0,1,1,0,0,6,12
DET,16,401437739,2022,3,DET,8,24,41,260,58.5,6.3,10.83,2,0,1,123.0,25,4.92,2,2,1,1,0,0,0,0,0,4,4,28
DET,16,401437892,2022,14,DET,8,31,41,425,75.6,10.4,13.71,2,0,3,22.0,17,1.29,1,2,2,2,0,0,0,1,0,2,5,23
DET,3,401437834,2022,10,DET,8,12,20,167,60.0,8.4,13.92,2,1,3,250.0,34,7.35,2,2,0,0,0,0,1,0,0,3,6,30
DET,21,401437648,2022,1,DET,8,18,32,243,56.3,7.6,13.5,0,0,1,216.0,39,5.54,4,0,0,0,0,1,0,0,0,5,8,32
DET,19,401437852,2022,11,DET,8,27,44,341,61.4,7.8,12.63,1,2,2,89.0,26,3.42,2,1,0,0,0,0,0,0,0,0,0,18
DET,6,401437795,2022,7,DET,8,19,25,207,76.0,8.3,10.89,1,0,2,136.0,31,4.39,2,0,1,1,0,1,0,0,0,3,6,18
DET,9,401437823,2022,9,DET,8,23,43,291,53.5,6.8,12.65,1,3,1,106.0,25,4.24,0,1,1,0,0,1,0,0,0,0,3,9
DET,26,401437752,2022,4,DET,8,23,30,320,76.7,10.7,13.91,2,0,0,229.0,32,7.16,3,2,1,1,0,1,0,0,1,6,12,42
DET,15,401437808,2022,8,DET,8,29,36,382,80.6,10.6,13.17,3,0,2,97.0,23,4.22,0,3,1,1,0,0,0,1,0,4,7,25
DET,28,401437732,2022,2,DET,8,30,46,337,65.2,7.3,11.23,3,1,5,88.0,21,4.19,1,3,0,0,0,0,0,0,0,0,0,24
DET,20,401437911,2022,15,DET,8,18,35,317,51.4,9.1,17.61,2,1,4,10.0,4,2.5,0,2,0,0,0,0,1,0,0,2,5,17
DET,17,401437767,2022,5,DET,8,17,21,188,81.0,9.0,11.06,1,1,0,176.0,35,5.03,0,1,0,0,0,1,3,1,0,2,17,23
DET,2,401030896,2018,15,DET,8,13,26,204,50.0,7.8,15.69,1,0,1,16.0,9,1.78,1,1,0,0,0,0,0,0,0,2,2,14
DET,17,401030802,2018,3,DET,8,14,26,133,53.8,5.1,9.5,1,1,2,52.0,15,3.47,0,0,0,0,0,0,1,0,0,1,4,4
DET,16,401030877,2018,16,DET,8,21,28,253,75.0,9.0,12.05,3,0,2,99.0,27,3.67,0,3,0,0,0,0,0,0,0,0,0,18
DET,16,401030822,2018,9,DET,8,18,22,164,81.8,7.5,9.11,1,1,1,128.0,23,5.57,1,1,0,0,0,0,0,0,0,0,0,12
DET,20,401030728,2018,1,DET,8,16,21,198,76.2,9.4,12.38,2,1,2,152.0,29,5.24,2,2,0,0,0,0,2,0,0,6,12,36
DET,25,401030730,2018,2,DET,8,18,26,206,69.2,7.9,11.44,2,0,6,190.0,28,6.79,1,1,0,0,0,0,1,2,0,3,12,24
DET,14,401030957,2018,13,DET,8,17,33,207,51.5,6.3,12.18,1,1,2,141.0,27,5.22,2,1,0,0,0,1,0,2,0,3,12,30
DET,9,401030757,2018,17,DET,8,3,5,26,60.0,5.2,8.67,0,0,1,44.0,12,3.67,0,0,0,0,0,0,0,0,0,0,0,0
DET,6,401030845,2018,4,DET,8,17,27,255,63.0,9.4,15.0,2,0,3,161.0,29,5.55,0,1,1,0,0,1,2,1,0,2,14,20
DET,9,401030745,2018,5,DET,8,32,52,442,61.5,8.5,13.81,3,0,4,83.0,16,5.19,0,1,0,0,0,0,0,1,0,0,3,9
DET,22,401030860,2018,14,DET,8,26,41,240,63.4,5.9,9.23,0,1,3,66.0,20,3.3,0,0,2,0,0,1,0,0,0,0,3,3
DET,3,401030810,2018,10,DET,8,23,30,355,76.7,11.8,15.43,3,0,1,54.0,22,2.45,2,3,0,0,0,0,0,0,0,2,2,32
DET,26,401030740,2018,8,DET,8,14,17,248,82.4,14.6,17.71,3,0,2,61.0,14,4.36,0,2,0,0,0,0,0,0,0,0,0,12
DET,3,401030905,2018,12,DET,8,0,0,0,0,0,0,0,0,0,27.0,10,2.7,0,1,0,0,0,0,0,1,0,2,5,11
DET,15,401030830,2018,7,DET,8,0,0,0,0,0,0,0,0,0,105.0,18,5.83,1,2,0,0,0,0,0,0,0,3,3,21
DET,29,401030910,2018,11,DET,8,0,0,0,0,0,0,0,0,0,53.0,13,4.08,0,2,0,0,0,0,0,0,0,1,1,13
DET,3,400874568,2016,14,DET,8,20,32,212,62.5,6.6,10.6,1,0,1,86.0,13,6.62,0,0,0,0,0,0,0,0,0,0,0,0
DET,30,400874641,2016,11,DET,8,0,0,0,0.0,0.0,0,0,0,0,17.0,6,2.83,0,1,0,0,0,1,0,0,1,1,7,13
DET,28,400874496,2016,7,DET,8,30,39,301,76.9,7.7,10.03,1,0,2,115.0,25,4.6,1,0,1,1,0,0,1,0,0,2,5,11
DET,3,400874668,2016,4,DET,8,28,36,302,77.8,8.4,10.79,2,0,2,108.0,26,4.15,0,0,0,0,0,0,0,0,0,0,0,0
DET,14,400874709,2016,6,DET,8,27,32,321,84.4,10.0,11.89,3,1,1,67.0,20,3.35,1,1,0,0,0,0,0,0,0,4,4,16
DET,10,400874488,2016,2,DET,8,25,33,238,75.8,7.2,9.52,2,1,3,51.0,11,4.64,0,0,0,0,0,0,0,1,0,1,4,4
DET,6,400874588,2016,16,DET,8,15,20,212,75.0,10.6,14.13,3,0,1,115.0,16,7.19,2,2,0,0,0,0,0,0,0,0,0,24
DET,9,400874637,2016,17,DET,8,27,39,300,69.2,7.7,11.11,4,0,1,92.0,21,4.38,0,3,0,0,0,0,0,0,1,2,5,23
DET,9,400874610,2016,3,DET,8,15,24,205,62.5,8.5,13.67,4,0,2,22.0,5,4.4,0,1,0,0,0,0,1,1,0,4,10,16
DET,21,400874533,2016,5,DET,8,25,33,238,75.8,7.2,9.52,2,1,3,19.0,3,6.33,0,0,1,0,0,0,0,0,0,0,0,0
DET,11,400874573,2016,1,DET,8,23,30,224,76.7,7.5,9.74,2,0,3,73.0,24,3.04,0,2,0,0,0,0,0,1,1,3,9,21
DET,18,400874717,2016,13,DET,8,0,0,0,0,0,0,0,0,0,37.0,7,5.29,0,0,0,0,0,0,1,1,0,1,7,7
DET,16,400874604,2016,9,DET,8,0,0,0,0,0,0,0,0,0,20.0,8,2.5,0,1,0,0,0,0,1,0,0,1,4,10
DET,16,400874495,2016,12,DET,8,0,0,0,0,0,0,0,0,0,53.0,10,5.3,0,0,0,0,0,1,1,0,0,1,7,7
DET,34,400874569,2016,8,DET,8,0,0,0,0,0,0,0,0,0,56.0,17,3.29,1,0,0,0,0,0,0,0,0,0,0,6
DET,19,400874687,2016,15,DET,8,0,0,0,0,0,0,0,0,0,65.0,12,5.42,0,2,0,0,0,0,0,1,0,2,5,17
DET,9,401220291,2020,2,DET,8,18,30,240,60.0,8.0,13.33,2,0,1,242.0,30,8.07,2,1,0,0,0,0,1,1,0,4,10,28
DET,27,401220286,2020,16,DET,8,22,27,348,81.5,12.9,15.82,4,0,1,0.0,0,0,0,6,0,0,0,0,0,0,0,5,5,41
DET,16,401220284,2020,17,DET,8,28,40,405,70.0,10.1,14.46,3,0,3,96.0,26,3.69,2,1,1,0,0,1,0,0,0,4,7,25
DET,16,401220299,2020,9,DET,8,13,20,220,65.0,11.0,16.92,3,0,1,275.0,34,8.09,2,0,0,0,0,0,0,0,0,4,4,16
DET,30,401220200,2020,6,DET,8,25,44,243,56.8,5.5,9.72,1,1,1,44.0,16,2.75,1,1,1,0,0,0,1,0,0,1,4,16
DET,22,401220343,2020,3,DET,8,23,35,270,65.7,7.7,11.74,2,3,1,115.0,26,4.42,1,0,0,0,0,0,0,0,1,2,5,11
DET,9,401220283,2020,14,DET,8,26,33,290,78.8,8.8,11.15,3,0,0,120.0,31,3.87,1,2,0,0,0,0,0,0,1,4,7,25
DET,1,401220310,2020,7,DET,8,31,42,338,73.8,8.0,10.9,1,0,2,66.0,25,2.64,2,1,1,0,0,0,0,0,0,2,2,20
DET,10,401220208,2020,15,DET,8,21,27,273,77.8,10.1,13.0,3,0,1,198.0,35,5.66,3,3,0,0,0,0,1,0,0,5,8,44
DET,3,401220282,2020,1,DET,8,20,36,242,55.6,6.7,12.1,3,0,1,149.0,28,5.32,0,2,0,0,0,1,1,0,0,3,9,21
DET,3,401220274,2020,13,DET,8,26,34,267,76.5,7.9,10.27,1,0,2,140.0,31,4.52,3,0,0,0,0,0,0,1,0,3,6,24
DET,29,401220318,2020,11,DET,8,24,34,258,70.6,7.6,10.75,1,2,1,116.0,34,3.41,1,1,1,0,0,0,1,0,1,2,8,20
DET,34,401220287,2020,12,DET,8,17,25,318,68.0,12.7,18.71,4,0,2,65.0,18,3.61,0,3,0,0,0,1,0,1,0,3,9,27
DET,28,401220289,2020,10,DET,8,0,0,0,0,0,0,0,0,0,78.0,22,3.55,3,0,2,1,0,0,1,1,0,3,9,27
DET,11,401220288,2020,8,DET,8,0,0,0,0,0,0,0,0,0,30.0,16,1.88,0,2,0,0,0,0,0,0,0,3,3,15
DET,18,401220285,2020,4,DET,8,0,0,0,0,0,0,0,0,0,93.0,21,4.43,1,2,0,0,0,0,0,0,0,5,5,23
DET,17,400554322,2014,12,DET,8,38,53,349,71.7,6.6,9.18,2,1,0,0.0,0,0,0,0,0,0,0,0,1,1,0,4,10,10
DET,16,400554415,2014,15,DET,8,31,41,315,75.6,7.7,10.16,1,2,4,30.0,3,10.0,0,0,0,0,0,0,0,0,0,2,2,2
DET,16,400554255,2014,6,DET,8,23,37,188,62.2,5.1,8.17,0,3,8,53.0,15,3.53,0,0,0,0,0,0,0,1,0,0,3,3
DET,27,400554424,2014,14,DET,8,20,39,250,51.3,6.4,12.5,2,2,6,8.0,4,2.0,0,2,0,0,0,0,0,0,0,0,0,12
DET,9,400554411,2014,17,DET,8,17,22,226,77.3,10.3,13.29,2,0,0,20.0,4,5.0,1,2,1,1,0,0,0,0,0,4,4,22
DET,9,400554244,2014,3,DET,8,16,27,162,59.3,6.0,10.12,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
DET,1,400554224,2014,8,DET,8,20,27,228,74.1,8.4,11.4,2,1,2,11.0,4,2.75,0,1,0,0,0,0,0,0,0,0,0,6
DET,20,400554252,2014,4,DET,8,17,33,209,51.5,6.3,12.29,1,1,2,4.0,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0
DET,15,400554355,2014,10,DET,8,27,38,207,71.1,5.4,7.67,1,1,3,2.0,7,0.29,0,0,0,0,0,0,0,0,0,0,0,0
DET,18,400554271,2014,7,DET,8,0,0,0,0,0,0,0,0,0,16.0,10,1.6,0,1,0,0,0,0,0,0,0,0,0,6
DET,6,400749514,2014,1,DET,8,0,0,0,0,0,0,0,0,0,9.0,5,1.8,0,0,1,0,0,0,0,0,1,3,6,6
DET,29,400554249,2014,2,DET,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,1,1,10,10
DET,22,400554414,2014,11,DET,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
DET,2,400554236,2014,5,DET,8,0,0,0,0,0,0,0,0,0,-8.0,1,-8.0,0,0,1,0,0,0,0,0,0,0,0,0
DET,3,400554401,2014,16,DET,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
DET,3,400554281,2014,13,DET,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,0,0,0,0,1,0,0,2,5,17
DET,17,301125008,2010,12,DET,8,21,27,341,77.8,12.6,16.24,4,0,1,1.0,4,0.25,0,0,0,0,0,0,0,0,0,0,0,0
DET,15,301226015,2010,16,DET,8,29,44,278,65.9,6.3,9.59,1,2,2,14.0,5,2.8,0,0,0,0,0,0,0,0,0,0,0,0
DET,27,301219027,2010,15,DET,8,1,1,1,100.0,1.0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,9,301003009,2010,4,DET,8,12,17,181,70.6,10.6,15.08,3,2,2,20.0,3,6.67,0,0,0,0,0,0,0,0,0,4,4,4
DET,9,301212008,2010,14,DET,8,7,11,46,63.6,4.2,6.57,0,1,2,25.0,2,12.5,0,0,0,0,0,0,0,1,0,0,3,3
DET,16,310102008,2010,17,DET,8,20,32,145,62.5,4.5,7.25,0,1,3,66.0,19,3.47,0,0,0,0,0,0,0,0,0,0,0,0
DET,21,300919008,2010,2,DET,8,0,0,0,0,0,0,0,0,0,125.0,17,7.35,3,1,0,0,0,0,0,0,0,0,0,24
DET,16,300926016,2010,3,DET,8,0,0,0,0,0,0,0,0,0,160.0,23,6.96,2,0,0,0,0,0,0,0,0,0,0,12
DET,14,301010008,2010,5,DET,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,2,0,0,0,0,6,6
DET,6,301121006,2010,11,DET,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
DET,20,301107008,2010,9,DET,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,11,11
DET,28,301031008,2010,8,DET,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,7
DET,3,301205008,2010,13,DET,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,6
DET,3,300912003,2010,1,DET,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,7
DET,17,261203017,2006,13,DET,8,27,38,305,71.1,8.0,11.3,0,1,2,9.0,6,1.5,0,0,0,0,0,2,0,0,0,2,8,8
DET,25,261112008,2006,10,DET,8,0,0,0,0,0,0,0,0,0,159.0,22,7.23,1,0,0,0,0,0,0,0,0,0,0,6
DET,26,260910008,2006,1,DET,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,9,9
DET,3,261224008,2006,16,DET,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,14,14
DET,3,260917003,2006,2,DET,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,10,10
DET,20,261022020,2006,7,DET,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,7,7
DET,17,221128008,2002,13,DET,8,18,30,210,60.0,7.0,11.67,0,1,0,12.0,4,3.0,0,0,0,0,0,1,1,0,0,2,8,8
DET,16,400791523,2015,7,DET,8,25,35,316,71.4,9.0,12.64,2,0,4,144.0,32,4.5,0,2,0,0,0,1,2,0,2,1,16,28
DET,16,400791638,2015,2,DET,8,14,18,153,77.8,8.5,10.93,1,0,1,161.0,38,4.24,1,1,2,1,0,2,0,0,0,2,8,20
DET,13,400791636,2015,11,DET,8,13,25,169,52.0,6.8,13.0,0,0,1,38.0,15,2.53,1,0,0,0,0,0,0,0,0,0,0,6
DET,25,400791531,2015,16,DET,8,22,33,225,66.7,6.8,10.23,2,0,3,9.0,1,9.0,0,0,0,0,0,0,0,0,0,0,0,0
DET,14,400791534,2015,14,DET,8,14,22,124,63.6,5.6,8.86,0,1,1,182.0,22,8.27,2,0,0,0,0,0,0,0,0,3,3,15
DET,9,400791568,2015,13,DET,8,24,36,273,66.7,7.6,11.38,2,1,3,26.0,5,5.2,1,1,0,0,0,0,0,0,0,3,3,15
DET,9,400791490,2015,10,DET,8,35,61,333,57.4,5.5,9.51,2,0,3,5.0,3,1.67,0,1,0,0,0,0,0,0,0,0,0,6
DET,26,400791741,2015,4,DET,8,20,26,287,76.9,11.0,14.35,1,0,6,41.0,11,3.73,0,0,1,1,0,0,0,0,2,1,7,7
DET,24,400791558,2015,1,DET,8,0,0,0,0,0,0,0,0,0,51.0,14,3.64,0,0,1,1,0,1,1,0,0,3,9,9
DET,22,400791554,2015,5,DET,8,0,0,0,0,0,0,0,0,0,6.0,3,2.0,2,2,0,0,0,0,0,0,0,6,6,30
DET,21,400791507,2015,12,DET,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
DET,3,400791659,2015,17,DET,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,1,1,0,2,8,14
DET,18,400791729,2015,15,DET,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,1,0,1,0,3,9,15
DET,3,400791629,2015,6,DET,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
DET,7,400791631,2015,3,DET,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,3,6,6
DET,12,400761516,2015,8,DET,8,0,0,0,0,0,0,0,0,0,10.0,1,10.0,1,1,0,0,0,0,1,0,0,6,9,21
DET,13,401128085,2019,9,DET,8,20,31,289,64.5,9.3,14.45,2,0,1,169.0,35,4.83,2,2,0,0,0,0,1,0,0,4,7,31
DET,16,401127947,2019,7,DET,8,24,34,338,70.6,9.9,14.08,4,0,0,157.0,36,4.36,2,2,1,0,0,0,0,0,0,0,0,24
DET,16,401127926,2019,14,DET,8,24,30,242,80.0,8.1,10.08,1,0,1,107.0,33,3.24,1,0,0,0,0,0,0,0,0,0,0,6
DET,27,401128028,2019,15,DET,8,28,42,458,66.7,10.9,16.36,4,1,2,49.0,29,1.69,0,3,0,0,0,0,0,1,0,5,8,26
DET,19,401128042,2019,8,DET,8,28,41,322,68.3,7.9,11.5,4,0,3,77.0,23,3.35,0,4,0,0,0,0,0,0,0,2,2,26
DET,28,401127996,2019,12,DET,8,0,0,0,0.0,0.0,0,0,0,0,58.0,21,2.76,0,0,0,0,0,1,2,1,0,1,13,13
DET,7,401127893,2019,16,DET,8,25,33,192,75.8,5.8,7.68,1,0,0,147.0,32,4.59,2,0,0,0,0,1,1,0,0,3,9,21
DET,12,401128023,2019,4,DET,8,24,42,315,57.1,7.5,13.12,0,0,0,54.0,6,9.0,0,0,1,1,0,1,0,1,0,4,10,10
DET,22,401127999,2019,1,DET,8,29,54,308,53.7,5.7,10.62,2,1,5,25.0,4,6.25,0,1,0,0,0,2,1,1,0,1,13,19
DET,6,401128052,2019,11,DET,8,29,46,444,63.0,9.7,15.31,3,0,1,75.0,24,3.12,1,3,1,1,0,0,2,0,0,3,9,33
DET,9,401128132,2019,6,DET,8,24,39,283,61.5,7.3,11.79,2,1,1,161.0,28,5.75,0,1,1,1,0,1,1,1,0,2,11,17
DET,9,401127983,2019,17,DET,8,27,55,323,49.1,5.9,11.96,2,1,1,101.0,27,3.74,0,1,0,0,0,0,0,0,0,0,0,6
DET,3,401127911,2019,10,DET,8,16,23,173,69.6,7.5,10.81,3,0,5,82.0,23,3.57,0,2,0,0,0,0,0,0,0,2,2,14
DET,3,401128015,2019,13,DET,8,29,38,338,76.3,8.9,11.66,3,1,1,88.0,23,3.83,0,2,0,0,0,0,1,0,0,3,6,18
DET,21,401127959,2019,3,DET,8,19,36,259,52.8,7.2,13.63,2,0,3,86.0,17,5.06,0,0,2,1,0,1,0,0,0,3,6,6
DET,24,401128072,2019,2,DET,8,0,0,0,0,0,0,0,0,0,125.0,24,5.21,1,0,1,1,0,0,0,0,0,0,0,6
DET,4,400951621,2017,16,DET,8,27,41,238,65.9,5.8,8.81,1,1,3,125.0,30,4.17,1,1,1,0,0,2,1,0,1,2,14,26
DET,33,400951680,2017,13,DET,8,23,36,269,63.9,7.5,11.7,2,0,0,96.0,23,4.17,2,0,0,0,0,0,1,1,1,5,14,26
DET,9,400951741,2017,17,DET,8,14,24,172,58.3,7.2,12.29,1,2,4,19.0,4,4.75,0,1,0,0,0,0,0,1,0,0,3,9
DET,9,400951790,2017,9,DET,8,26,38,245,68.4,6.4,9.42,0,0,3,55.0,9,6.11,1,0,0,0,0,0,0,0,0,0,0,6
DET,16,400951569,2017,12,DET,8,21,30,282,70.0,9.4,13.43,2,0,2,136.0,41,3.32,2,2,0,0,0,0,1,0,0,3,6,30
DET,16,400951724,2017,4,DET,8,16,30,219,53.3,7.3,13.69,0,0,2,87.0,22,3.95,1,0,3,3,0,0,0,0,0,1,1,7
DET,5,400951563,2017,10,DET,8,21,37,232,56.8,6.3,11.05,1,1,1,201.0,33,6.09,2,0,1,1,0,1,0,0,0,3,6,18
DET,1,400951594,2017,3,DET,8,24,35,294,68.6,8.4,12.25,2,3,2,151.0,28,5.39,1,1,0,0,0,0,0,0,0,0,0,12
DET,3,400951701,2017,11,DET,8,18,30,179,60.0,6.0,9.94,1,0,1,222.0,30,7.4,2,0,0,0,0,0,0,0,0,0,0,12
DET,3,400951768,2017,15,DET,8,31,46,314,67.4,6.8,10.13,1,3,2,41.0,14,2.93,0,0,0,0,0,0,0,1,0,1,4,4
DET,27,400951660,2017,14,DET,8,26,38,285,68.4,7.5,10.96,2,2,3,33.0,3,11.0,0,0,0,0,0,0,0,0,0,0,0,0
DET,23,400951736,2017,8,DET,8,0,0,0,0,0,0,0,0,0,76.0,25,3.04,1,0,1,1,0,0,2,0,0,2,8,14
DET,18,400951704,2017,6,DET,8,0,0,0,0,0,0,0,0,0,192.0,36,5.33,2,1,1,1,0,0,0,1,0,7,10,28
DET,22,400951576,2017,1,DET,8,0,0,0,0,0,0,0,0,0,33.0,12,2.75,0,1,2,1,0,0,0,0,0,0,0,6
DET,29,400951558,2017,5,DET,8,0,0,0,0,0,0,0,0,0,7.0,3,2.33,0,3,0,0,0,1,0,1,0,3,9,27
DET,19,400951681,2017,2,DET,8,0,0,0,0,0,0,0,0,0,7.0,2,3.5,0,1,0,0,0,1,0,0,0,1,4,10
DET,4,331020008,2013,7,DET,8,24,34,372,70.6,10.9,15.5,3,0,1,33.0,8,4.12,0,1,0,0,0,0,0,1,1,3,9,15
DET,21,331208021,2013,14,DET,8,11,22,179,50.0,8.1,16.27,1,1,0,230.0,36,6.39,3,1,0,0,0,0,0,0,0,0,0,24
DET,27,331124008,2013,12,DET,8,14,21,247,66.7,11.8,17.64,2,0,4,-17.0,4,-4.25,0,0,0,0,0,0,0,0,0,0,0,0
DET,28,330922028,2013,3,DET,8,32,50,326,64.0,6.5,10.19,0,1,2,110.0,21,5.24,1,0,0,0,0,0,0,0,0,0,0,6
DET,3,331110003,2013,10,DET,8,6,9,62,66.7,6.9,10.33,1,0,1,5.0,2,2.5,0,0,0,0,0,1,1,0,0,1,7,7
DET,9,331006009,2013,5,DET,8,20,30,274,66.7,9.1,13.7,1,0,1,80.0,7,11.43,0,0,0,0,0,1,1,2,1,1,16,16
DET,23,331117023,2013,11,DET,8,0,0,0,0,0,0,0,0,0,28.0,19,1.47,0,2,0,0,0,0,0,0,0,0,0,12
DET,16,330908008,2013,1,DET,8,0,0,0,0,0,0,0,0,0,93.0,18,5.17,2,1,0,0,0,0,0,0,1,3,6,24
DET,16,331229016,2013,17,DET,8,0,0,0,0,0,0,0,0,0,54.0,2,27.0,1,1,0,0,0,0,0,0,0,2,2,14
DET,6,331027008,2013,8,DET,8,0,0,0,0,0,0,0,0,0,1.0,1,1.0,0,2,1,0,0,0,0,1,2,3,12,24
DET,22,330915022,2013,2,DET,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,5,331013005,2013,6,DET,8,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0
DET,3,330929008,2013,4,DET,8,0,0,0,0,0,0,0,0,0,27.0,1,27.0,0,1,0,0,0,2,1,0,0,1,10,16
DET,19,331222008,2013,16,DET,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,11,11
DET,9,331128008,2013,13,DET,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4
DET,33,291213033,2009,14,DET,8,13,20,230,65.0,11.5,17.69,1,0,0,2.0,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0
DET,9,291126008,2009,12,DET,8,28,39,348,71.8,8.9,12.43,3,0,1,5.0,1,5.0,0,0,0,0,0,2,0,0,0,4,10,10
DET,9,291018009,2009,6,DET,8,29,37,358,78.4,9.7,12.34,2,1,5,9.0,3,3.0,0,0,0,0,0,2,1,1,0,2,14,14
DET,25,291227025,2009,16,DET,8,0,0,0,0,0,0,0,0,0,71.0,28,2.54,1,0,1,1,0,0,0,0,0,0,0,6
DET,16,290920008,2009,2,DET,8,0,0,0,0,0,0,0,0,0,92.0,15,6.13,1,0,1,1,0,0,0,0,0,0,0,6
